transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,2,2950,25/02/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62 ,02/12/2012
2,3,3120,21/05/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92 ,03/03/2014
3,37,402,16/10/2017,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82 ,20/07/1999
4,88,3135,31/08/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10 ,16/12/1998
5,78,787,01/10/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48 ,10/08/2015
6,25,2339,08/03/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,10/11/2006
7,22,1542,21/04/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26 ,15/07/1993
8,15,2459,15/07/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44 ,12/04/2009
9,67,1305,10/08/2017,FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74 ,05/08/1991
10,12,3262,30/08/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60 ,17/08/2004
11,5,1986,17/01/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71 ,29/08/2011
12,61,2783,05/01/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93 ,17/06/2015
13,35,1243,26/02/2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40 ,12/07/1994
14,16,2717,10/09/2017,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11 ",09/09/1994
15,12,247,11/06/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48 ,25/07/2004
16,3,2961,10/10/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92 ,09/09/2003
17,79,2426,03/04/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01 ,07/08/2004
18,33,1842,02/06/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18 ",11/10/1992
19,54,2268,06/04/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44 ,12/04/2009
20,25,3002,28/01/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,22/03/2002
21,27,1582,09/10/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72 ,23/06/1999
22,37,595,29/06/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82 ,20/07/1999
23,37,2001,08/04/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82 ,21/05/2015
24,82,515,18/10/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,04/02/2016
25,89,2822,11/06/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74 ,20/04/1993
26,64,2596,10/01/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55 ,21/05/2015
27,64,2666,11/04/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55 ,18/05/2012
28,19,76,23/12/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71 ,09/07/2016
29,72,3368,13/10/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30 ,06/12/2016
30,91,1173,15/03/2017,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85 ,10/10/2014
31,88,2810,05/09/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10 ,10/10/2002
32,1,3214,18/02/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82 ,14/11/2016
33,25,1272,20/03/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,04/02/2016
34,99,2003,28/02/2017,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42 ",01/10/2006
35,0,2171,20/08/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84 ,22/10/2005
36,92,3356,07/07/2017,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36 ",10/09/2003
37,14,1040,09/01/2017,FALSE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75 ",24/10/1995
38,2,2916,06/12/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62 ,07/11/1991
39,12,427,12/09/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60 ,07/12/2005
40,0,2448,28/11/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84 ,22/10/2005
41,44,2570,08/05/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76 ,16/02/2003
42,79,3398,14/05/2017,FALSE,Approved,Solex,Touring,medium,large,2083.94,$675.03 ,16/09/2013
43,76,488,17/03/2017,FALSE,Cancelled,WeareA2B,Standard,low,medium,642.31,$513.85 ,10/10/2014
44,46,165,22/12/2017,FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51 ,16/02/2003
45,55,2787,07/06/2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76 ,17/06/2015
46,66,3053,20/06/2017,FALSE,Approved,Solex,Standard,medium,medium,1163.89,$589.27 ,09/07/2016
47,35,475,07/05/2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40 ,12/07/1994
48,81,1305,10/06/2017,TRUE,Approved,Solex,Standard,medium,medium,1151.96,$649.49 ,10/04/2012
49,86,1251,17/06/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07 ,07/08/2004
50,32,3103,10/05/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37 ,22/03/2002
51,77,3108,24/03/2017,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10 ,10/01/2011
52,96,857,27/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66 ,11/12/2007
53,6,3455,21/12/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73 ,07/11/1991
54,27,2549,09/02/2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72 ,12/07/1994
55,0,3140,18/09/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41 ,10/05/2005
56,47,3406,14/11/2017,FALSE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42 ",09/02/1997
57,94,2294,30/08/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66 ,09/06/2013
58,91,1031,14/11/2017,FALSE,Approved,Solex,Standard,medium,medium,100.35,$75.26 ,26/07/1999
59,93,993,15/02/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90 ,02/02/2006
60,60,3473,18/12/2017,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85 ",28/07/2014
61,0,1839,24/02/2017,FALSE,Approved,OHM Cycles,Road,high,large,12.01,$7.21 ,02/10/1993
62,33,1824,18/12/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18 ",11/10/1992
63,35,368,17/12/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82 ,14/11/2016
64,0,2000,08/07/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72 ,10/11/2006
65,28,825,16/05/2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,"$1,082.36 ",22/11/2016
66,86,3315,23/02/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07 ,26/07/1999
67,2,75,03/07/2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62 ,02/12/2012
68,4,1498,30/09/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48 ,28/09/2004
69,38,1612,21/10/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92 ,15/09/2012
70,27,2192,06/05/2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72 ,23/06/1999
71,54,419,03/01/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44 ,12/04/2009
72,77,3307,09/05/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76 ,09/05/2011
73,22,2430,23/07/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26 ,15/07/1993
74,56,1506,21/01/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90 ,04/10/1997
75,58,1346,20/06/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40 ,18/10/2015
76,22,927,10/03/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26 ,10/11/1991
77,50,763,02/06/2017,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92 ,16/02/2003
78,80,2397,07/11/2017,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84 ,16/12/1998
